#
# The different variable names
#
ID	size	emoji	face	mention	link	hashtag	retw	dec	
#
# The first category
#
ID-944	1168	0	0	0	48	0	0	B	
ID-1485	1265	0	0	0	46	0	0	B	
ID-366	1268	0	0	0	43	0	0	B	
ID-990	1061	0	0	0	100	0	0	B	
ID-424	810	0	0	0	100	0	0	B	
ID-1785	3436	0	0	0	166	17	0	B	
ID-1245	1090	0	0	0	2	5	0	B	
ID-208	1200	0	0	0	47	0	0	B	
ID-1644	420	0	0	0	0	0	0	B	
ID-423	3727	0	0	0	193	10	0	B	
ID-1000	401	15	4	0	200	0	0	B	
ID-170	1266	0	0	0	46	0	0	B	
ID-1632	1494	0	0	0	100	281	0	B	
ID-313	101	0	0	0	0	0	0	B	
ID-1567	1305	0	0	0	36	0	0	B	
ID-1905	1314	0	0	0	193	428	0	B	
ID-1973	1228	0	0	0	47	0	0	B	
ID-1216	1336	0	0	0	206	0	0	B	
ID-1958	1089	0	0	0	201	20	0	B	
ID-346	517	0	0	0	0	0	0	B	
ID-924	3680	0	0	0	175	6	0	B	
ID-1467	1385	0	0	0	46	0	0	B	
ID-388	1258	0	0	0	50	0	0	B	
ID-1459	1241	0	0	0	47	0	0	B	
ID-209	1338	0	0	0	200	0	0	B	
ID-161	3679	0	0	0	186	9	0	B	
ID-506	3948	0	0	0	225	6	0	B	
ID-242	1005	2	0	0	109	496	0	B	
ID-2052	1134	0	0	0	200	3	0	B	
ID-1152	1266	0	0	0	205	2	0	B	
ID-1572	3591	0	0	0	192	10	0	B	
ID-2030	1347	0	0	0	54	0	0	B	
ID-263	2159	0	0	0	0	0	0	B	
ID-113	1235	0	0	0	48	0	0	B	
ID-651	2141	0	0	0	0	0	0	B	
ID-65	761	0	0	0	100	27	0	B	
ID-1159	1450	0	0	0	190	506	0	B	
ID-185	1343	0	0	0	43	0	0	B	
ID-2054	1559	0	0	0	0	614	96	B	
ID-1972	3825	0	0	0	197	2	0	B	
ID-2000	101	0	0	0	0	0	0	B	
ID-1487	1878	0	0	0	100	5	0	B	
ID-233	3805	0	0	1	202	5	0	B	
ID-141	3660	0	0	1	187	9	0	B	
ID-1435	1508	0	0	1	82	216	0	B	
ID-1581	1485	0	0	2	67	0	0	B	
ID-1229	1039	0	0	2	101	0	1	B	
ID-2049	1456	0	0	3	0	0	0	B	
ID-60	453	0	0	5	2	0	2	B	
ID-1060	1550	0	0	15	178	10	12	B	
ID-1757	1610	0	0	16	0	1	16	B	
ID-2046	1493	0	0	31	100	22	18	B	
ID-2038	1474	0	0	32	1	7	18	B	
ID-1751	1355	0	0	34	104	2	34	B	
ID-1449	1405	0	0	35	5	59	0	B	
ID-4	1088	0	0	40	0	11	0	B	
ID-1163	1352	0	0	52	78	0	0	B	
ID-579	1201	54	7	73	30	42	38	B	
ID-280	1721	1	0	122	55	307	100	B	
ID-1052	1596	9	8	124	98	14	100	B	
ID-1217	1630	23	0	150	59	59	44	B	
#
# And for the second category
#									
ID-2194	1611	6	0	21	36	87	5	H	
ID-2414	1456	0	0	29	54	31	11	H	
ID-3868	1221	15	14	38	26	4	34	H	
ID-2856	1054	16	5	49	48	59	26	H	
ID-3747	1457	126	31	65	93	86	1	H	
ID-3444	1743	96	45	66	30	5	15	H	
ID-3187	1588	0	0	67	83	162	2	H	
ID-2435	1562	0	0	70	60	33	22	H	
ID-2331	2363	0	0	79	37	5	38	H	
ID-2551	1902	5	0	79	41	1	63	H	
ID-2346	1625	2	0	80	60	40	30	H	
ID-2679	1449	8	8	81	27	29	14	H	
ID-2083	1602	27	3	82	28	7	42	H	
ID-3806	1668	28	26	83	58	22	4	H	
ID-2807	1708	52	27	88	44	18	50	H	
ID-2334	1515	29	11	89	60	3	85	H	
ID-4025	1840	38	10	90	40	38	22	H	
ID-4014	1420	0	0	91	33	42	13	H	
ID-3221	1817	21	10	95	40	2	89	H	
ID-4024	1754	8	0	100	74	37	16	H	
ID-3171	1824	23	6	101	56	29	67	H	
ID-3586	1514	10	8	104	58	10	79	H	
ID-2304	1332	0	0	105	40	35	24	H	
ID-3206	1426	60	24	106	88	81	93	H	
ID-3323	1833	0	0	107	69	85	25	H	
ID-2375	1480	4	2	109	17	7	0	H	
ID-3057	1836	5	3	110	36	8	56	H	
ID-3977	1585	0	0	111	62	70	28	H	
ID-2711	1004	49	40	123	45	11	34	H	
ID-2453	1717	0	0	131	130	9	0	H	
ID-3704	2085	9	5	132	20	21	86	H	
ID-2685	2172	1	1	133	35	24	49	H	
ID-3495	1828	41	10	133	24	129	108	H	
ID-3674	2022	86	27	150	30	47	54	H	
ID-3016	1426	0	0	152	8	4	13	H	
ID-2643	1635	0	0	155	103	148	45	H	
ID-2236	1489	2	0	166	76	35	76	H	
ID-2459	1663	42	14	175	18	39	35	H	
ID-3293	1501	33	8	215	30	50	19	H	
