#
# All the 85 Federalist Paper (limited to six words)
#
Paper	the	by	upon	on	would	there	decision
#
# Written by Hamilton
#	
H1	127	14	6	9	2	2	H	
H6	179	11	4	5	6	8	H	
H7	202	28	11	12	51	9	H	
H8	155	11	3	9	27	2	H	
H9	168	13	4	9	8	3	H	
H11	186	20	6	5	50	8	H	
H12	175	15	7	12	22	9	H	
H13	72	5	2	3	14	9	H	
H15	251	32	10	10	13	18	H	
H16	191	13	6	4	36	4	H	
H17	160	9	6	2	12	4	H	
H21	182	22	6	6	12	8	H	
H22	288	30	13	8	20	14	H	
H23	185	11	7	2	4	4	H	
H24	133	14	7	11	25	6	H	
H25	173	22	2	11	21	2	H	
H26	199	21	6	7	16	8	H	
H27	144	14	4	4	3	8	H	
H28	164	7	3	1	12	7	H	
H29	220	10	10	3	19	13	H	
H30	162	14	13	8	22	5	H	
H31	160	9	13	5	5	6	H	
H32	148	10	2	14	23	8	H	
H33	156	14	9	5	15	2	H	
H34	184	4	10	11	20	9	H	
H35	186	10	9	8	16	5	H	
H36	252	21	6	6	6	19	H	
H59	175	17	3	6	16	7	H	
H60	221	21	8	6	28	8	H	
H61	149	5	3	6	17	5	H	
H65	218	16	10	5	25	5	H	
H66	244	13	11	7	10	5	H	
H67	181	14	6	3	5	3	H	
H68	140	12	2	3	7	1	H	
H69	301	19	12	5	27	9	H	
H70	282	15	6	14	11	13	H	
H71	173	15	3	7	16	3	H	
H72	176	17	5	6	25	9	H	
H73	203	27	13	5	29	5	H	
H74	102	2	3	4	9	4	H	
H75	206	16	5	5	27	3	H	
H76	167	20	8	4	23	6	H	
H77	181	16	10	3	31	3	H	
H78	306	25	9	10	19	12	H	
H79	87	4	2	5	5	3	H	
H80	253	13	6	9	10	7	H	
H81	375	32	13	16	21	19	H	
H82	166	4	4	0	11	0	H	
H83	474	79	20	18	48	22	H	
H84	364	28	11	20	15	16	H	
H85	240	11	12	17	6	10	H	
#								
# Written by Madison								
#								
M10	259	39	0	18	6	6	M	
M14	200	18	0	17	5	0	M	
M37	228	30	1	19	7	2	M	
M38	269	37	4	15	15	3	M	
M39	298	33	0	25	8	0	M	
M40	292	55	0	13	6	4	M	
M41	334	32	0	27	9	1	M	
M42	260	31	2	22	15	3	M	
M43	354	47	0	33	12	2	M	
M44	313	28	0	28	29	4	M	
M45	276	11	0	10	11	3	M	
M46	301	21	0	32	29	0	M	
M47	325	42	0	20	4	3	M	
M48	167	28	0	16	3	2	M	
#								
# Written by Jay								
#								
J2	105	10	1	8	5	0	J	
J3	91	18	0	6	2	1	J	
J4	84	14	0	11	17	3	J	
J5	64	10	0	5	37	0	J	
J64	172	30	0	14	7	6	J	
#								
# The 12 disputed papers								
#								
Q49	176	15	0	16	22	2	M	
Q50	99	11	1	11	11	0	M	
Q51	200	23	0	21	9	4	M	
Q52	184	22	0	19	8	0	M	
Q53	192	31	0	8	6	2	M	
Q54	202	26	2	19	6	1	M	
Q55	180	14	0	9	10	5	M	
Q56	135	10	0	9	4	4	M	
Q57	214	25	0	19	6	4	M	
Q58	211	22	0	18	12	2	M	
Q62	190	28	0	19	5	0	M	
Q63	288	51	0	20	11	8	M	
