#
#													
Paper	the	by	upon	on	would	there	while	whilst	fully	kind	voice	consequently	decision
#
# 51 papers written by Hamilton
#
H1	7.997481	0.8816121	0.3778338	0.5667506	0.1259446	0.1259446	0	0	0	0	0	0	H
H6	8.388004	0.5154639	0.1874414	0.2343018	0.2811621	0.3748828	0.04686036	0	0	0.09372071	0	0	H
H7	8.957871	1.241685	0.4878049	0.5321508	2.261641	0.3991131	0	0	0	0.0443459	0	0	H
H8	7.796781	0.5533199	0.1509054	0.4527163	1.358149	0.1006036	0	0	0	0	0	0	H
H9	8.502024	0.6578947	0.2024291	0.4554656	0.4048583	0.1518219	0.05060729	0	0.05060729	0.2024291	0	0	H
H11	7.457899	0.8019246	0.2405774	0.2004812	2.004812	0.3207698	0	0	0	0.1202887	0	0	H
H12	8.147114	0.698324	0.3258845	0.5586592	1.024209	0.4189944	0	0	0	0.09310987	0	0	H
H13	7.5	0.5208333	0.2083333	0.3125	1.458333	0.9375	0	0	0	0	0	0	H
H15	8.154646	1.039636	0.3248863	0.3248863	0.4223522	0.5847953	0.03248863	0	0.03248863	0.1949318	0.03248863	0	H
H16	9.376534	0.6381934	0.2945508	0.1963672	1.767305	0.1963672	0	0	0	0.245459	0	0	H
H17	10.22364	0.5750799	0.3833866	0.1277955	0.7667732	0.2555911	0	0	0	0.06389776	0	0	H
H21	9.127382	1.10331	0.3009027	0.3009027	0.6018054	0.4012036	0.1504514	0	0	0.4012036	0	0	H
H22	8.280621	0.8625647	0.373778	0.2300173	0.5750431	0.4025302	0.1150086	0	0	0.1437608	0.02875216	0	H
H23	10.29494	0.6121313	0.3895381	0.1112966	0.2225932	0.2225932	0	0	0.0556483	0	0	0	H
H24	7.307692	0.7692308	0.3846154	0.6043956	1.373626	0.3296703	0.05494505	0	0	0.05494505	0	0	H
H25	8.728557	1.10999	0.1009082	0.554995	1.059536	0.1009082	0	0	0.05045409	0.2018163	0	0	H
H26	8.378947	0.8842105	0.2526316	0.2947368	0.6736842	0.3368421	0	0	0.04210526	0.04210526	0.04210526	0	H
H27	10.15515	0.9873061	0.2820874	0.2820874	0.2115656	0.5641749	0	0	0	0.07052186	0	0	H
H28	10.31447	0.4402516	0.1886792	0.06289308	0.754717	0.4402516	0	0	0	0.06289308	0	0	H
H29	9.821429	0.4464286	0.4464286	0.1339286	0.8482143	0.5803571	0.08928571	0	0	0.04464286	0	0	H
H30	8.244275	0.7124682	0.6615776	0.4071247	1.119593	0.2544529	0	0	0	0.1526718	0	0	H
H31	9.248555	0.5202312	0.7514451	0.2890173	0.2890173	0.3468208	0	0	0.05780347	0.1156069	0	0	H
H32	9.979771	0.6743088	0.1348618	0.9440324	1.55091	0.5394471	0	0	0	0.1348618	0	0	H
H33	9.263658	0.8313539	0.5344418	0.2969121	0.8907363	0.1187648	0	0	0.05938242	0.05938242	0	0	H
H34	8.325792	0.1809955	0.4524887	0.4977376	0.9049774	0.4072398	0.04524887	0	0.04524887	0	0	0	H
H35	8.262994	0.444247	0.3998223	0.3553976	0.7107952	0.2221235	0	0	0	0	0	0	H
H36	8.977556	0.7481297	0.2137513	0.2137513	0.2137513	0.6768792	0	0	0	0.1781261	0	0	H
H59	9.215377	0.895208	0.1579779	0.3159558	0.8425487	0.3686151	0	0	0	0.05265929	0	0	H
H60	9.870478	0.9379187	0.3573024	0.2679768	1.250558	0.3573024	0	0	0	0.0446628	0	0	H
H61	9.828496	0.3298153	0.1978892	0.3957784	1.121372	0.3298153	0	0	0	0.06596306	0	0	H
H65	10.81349	0.7936508	0.4960317	0.2480159	1.240079	0.2480159	0.04960317	0	0	0	0	0	H
H66	10.98604	0.5853219	0.4952724	0.3151733	0.4502476	0.2251238	0.04502476	0	0.04502476	0	0	0	H
H67	11.05681	0.855223	0.3665241	0.1832621	0.3054368	0.1832621	0	0	0	0	0	0	H
H68	9.308511	0.7978723	0.1329787	0.1994681	0.4654255	0.06648936	0	0	0	0.06648936	0	0	H
