#
# Example with the Federalist Papers
#
PaperID	to	upon	would	decision
#
# written by Hamilton
#
H1	44.1	3.78	1.26	H		
H6	27.6	1.87	2.81	H		
H7	35.5	4.88	22.6	H		
H8	39.2	1.51	13.6	H		
H9	35.4	2.02	4.05	H		
H11	33.3	2.41	20	H		
H12	37.2	3.26	10.2	H		
H13	43.8	2.08	14.6	H		
H15	37.7	3.25	4.22	H		
H16	43.2	2.95	17.7	H		
H17	36.4	3.83	7.67	H		
H21	27.1	3.01	6.02	H		
H22	41.1	3.74	5.75	H		
H23	53.4	3.9	2.23	H		
H24	46.2	3.85	13.7	H		
H25	44.9	1.01	10.6	H		
H26	39.6	2.53	6.74	H		
H27	42.3	2.82	2.12	H		
H28	40.9	1.89	7.55	H		
H29	49.6	4.46	8.48	H		
H30	38.2	6.62	11.2	H		
H31	46.8	7.51	2.89	H		
H32	31	1.35	15.5	H		
H33	39.2	5.34	8.91	H		
H34	48	4.52	9.05	H		
H35	44.4	4	7.11	H		
H36	43.1	2.14	2.14	H		
H59	37.9	1.58	8.43	H		
H60	38.4	3.57	12.5	H		
H61	39.6	1.98	11.2	H		
H65	41.7	4.96	12.4	H		
H66	37.4	4.95	4.5	H		
H67	50.7	3.67	3.05	H		
H68	49.9	1.33	4.65	H		
H69	33.8	4.37	9.82	H		
H70	38.5	1.96	3.59	H		
H71	44	1.76	9.38	H		
H72	48	2.45	12.3	H		
H73	34.9	5.54	12.4	H		
H74	35	3	9	H		
H75	46.3	2.57	13.9	H		
H76	42.5	4.14	11.9	H		
H77	36.2	5.1	15.8	H		
H78	42.4	2.98	6.3	H		
H79	41.1	1.96	4.9	H		
H80	46.1	2.45	4.08	H		
H81	41.2	3.43	5.54	H		
H82	53.5	2.61	7.18	H		
H83	37.3	3.5	8.4	H		
H84	33.2	2.81	3.83	H		
H85	42.5	4.51	2.26	H		
#
# Papers written by Madison
#						
M10	33	0	2	M		
M14	33	0	2.33	M		
M37	31	0.369	2.58	M		
M38	35	1.21	4.52	M		
M39	34.5	0	3.07	M		
M40	39.5	0	1.99	M		
M41	33.3	0	2.54	M		
M42	33.2	0.721	5.41	M		
M43	32.4	0	3.5	M		
M44	27.6	0	10	M		
M45	30.7	0	5.2	M		
M46	32.5	0	11.1	M		
M47	23.4	0	1.46	M		
M48	28.5	0	1.61	M		
#
# The disputed articles
#						
Q49	34.6	0	13.4	M		
Q50	24.5	0.908	9.99	M		
Q51	25.6	0	4.7	M		
Q52	38.5	0	4.34	M		
Q53	33.3	0	2.77	M		
Q54	30.1	1	3.01	M		
Q55	37.7	0	4.89	M		
Q56	25.3	0	2.53	M		
Q57	33.1	0	2.72	M		
Q58	28.8	0	5.77	M		
Q62	33.9	0	2.09	M		
Q63	28.6	0	3.62	M		
