#
# Example with the Federalist Papers
#
PaperID	to	upon	would	decision
#
# written by Hamilton
#
H1	39.86332574	3.416856492	1.138952164	H
H6	24.50166113	1.661129568	2.491694352	H
H7	31.60806006	4.346108258	20.15013829	H
H8	34.6975089	1.334519573	12.01067616	H
H9	31.58844765	1.805054152	3.610108303	H
H11	30.13993541	2.15285253	17.94043775	H
H12	33.42963269	2.888980603	9.079653322	H
H13	40.48964218	1.883239171	13.1826742	H
H15	34.54332553	2.927400468	3.805620609	H
H16	39.69669938	2.67618198	16.05709188	H
H17	33.10502283	3.424657534	6.849315068	H
H21	24.33528616	2.703920685	5.40784137	H
H22	36.86517144	3.351379221	5.155968033	H
H23	48.47576212	3.498250875	1.9990005	H
H24	41.74852652	3.438113949	12.27897839	H
H25	40.52228726	0.900495272	9.45520036	H
H26	35.86258966	2.265005663	6.0400151	H
H27	38.5344283	2.526847757	1.895135818	H
H28	37.20405862	1.691093574	6.764374295	H
H29	45.01216545	4.055150041	7.704785077	H
H30	34.45107947	5.971520441	10.10564998	H
H31	42.40837696	6.806282723	2.617801047	H
H32	27.86190188	1.211387038	13.93095094	H
H33	35.10638298	4.787234043	7.978723404	H
H34	43.62139918	4.115226337	8.230452675	H
H35	39.95205753	3.595685178	6.392329205	H
H36	39.09531502	1.938610662	1.938610662	H
H59	34.58076741	1.421127428	7.579346281	H
H60	34.8	3.2	11.2	H
H61	36.22327791	1.781472684	10.09501188	H
H65	37.6007162	4.476275739	11.19068935	H
H66	34.16398714	4.421221865	4.019292605	H
H67	45.55433589	3.293084523	2.744237102	H
H68	44.85645933	1.196172249	4.186602871	H
H69	30.19480519	3.896103896	8.766233766	H
H70	34.36225976	1.747233547	3.203261503	H
H71	39.34942288	1.573976915	8.394543547	H
H72	42.94478528	2.191060473	10.95530237	H
H73	31.36954858	4.973221117	11.09410865	H
H74	30.78276165	2.638522427	7.915567282	H
H75	41.74397032	2.319109462	12.52319109	H
H76	37.94539565	3.70198982	10.64322073	H
H77	32.62867647	4.595588235	14.24632353	H
H78	38.20895522	2.686567164	5.671641791	H
H79	37.43315508	1.782531194	4.456327986	H
H80	41.13578449	2.184200946	3.640334911	H
H81	36.75777568	3.063147974	4.948162111	H
H82	48.09384164	2.346041056	6.451612903	H
H83	33.81795196	3.160556258	7.585335019	H
H84	29.55776173	2.481949458	3.384476534	H
H85	37.97043011	4.032258065	2.016129032	H
#
# Papers written by Madison
#
M10	29.4205052	0	1.783060921	M
M14	30.08775595	0	2.089427497	M
M37	27.94411178	0.332667997	2.328675981	M
M38	31.52789006	1.077876583	4.042037187	M
M39	30.8161192	0	2.70910938	M
M40	35.39823009	0	1.769911504	M
M41	29.87341772	0	2.278481013	M
M42	29.62009015	0.643915003	4.829362524	M
M43	28.46883816	0	3.077712234	M
M44	24.69135802	0	8.950617284	M
M45	27.81289507	0	4.635482512	M
M46	29.29014473	0	9.993108201	M
M47	20.55234425	0	1.284521516	M
M48	25.43570419	0	1.413094677	M
#
# The disputed articles
#
Q49	31.30059363	0	11.87263896	M
Q50	22.27525855	0.795544948	8.750994431	M
Q51	22.90790089	0	4.207573633	M
Q52	34.46601942	0	3.883495146	M
Q53	29.62962963	0	2.469135802	M
Q54	26.7618198	0.89206066	2.67618198	M
Q55	33.86103782	0	4.397537379	M
Q56	22.87021155	0	2.287021155	M
Q57	30.41512536	0	2.466091245	M
Q58	25.77319588	0	5.154639175	M
Q62	30.38259565	0	1.875468867	M
Q63	25.59576346	0	3.236245955	M
